"team1","team2","spread","total"
"Northeastern","West Virginia (#9)","+17.5 (-110) / -17.5 (-110)","+1100 / -2800"
"Central Arkansas","Baylor (#2)","+34.0 (-110) / -34.0 (-110)","O157.5 (-110) / U157.5 (-110)"
"Miami Florida","Virginia Tech (#24)","+6.0 (-110) / -6.0 (-110)","+215 / -260"
"Central Michigan","Eastern Michigan","+5.0 (-115) / -5.0 (-105)","+175 / -210"
"Coppin State","Rider","+5.5 (-110) / -5.5 (-110)","+190 / -230"
"Florida State (#18)","Clemson","+1.5 (-110) / -1.5 (-110)","+105 / -125"
"Incarnate Word","Texas Tech (#13)","+35.5 (-110) / -35.5 (-110)","O129.5 (-110) / U129.5 (-110)"
"Purdue","Rutgers (#14)","+3.5 (-110) / -3.5 (-110)","+145 / -165"
"Santa Clara","USC","+10.0 (-110) / -10.0 (-110)","+415 / -630"
"South Florida","Memphis","+9.5 (-110) / -9.5 (-110)","+320 / -440"
"Texas A&M","LSU","+7.5 (-110) / -7.5 (-110)","+265 / -330"
"Wofford","Mercer","+2.5 (-110) / -2.5 (-110)","+120 / -140"
"Nebraska Omaha","Kansas State","+10.5 (-110) / -10.5 (-110)","+375 / -550"
"SE Louisiana","Lamar","+5.5 (-115) / -5.5 (-105)","+190 / -230"
"Dixie State","Gonzaga (#1)","+38.0 (-110) / -38.0 (-110)","O166.0 (-110) / U166.0 (-110)"
"Houston (#5)","Tulsa","-8.5 (-110) / +8.5 (-110)","-400 / +300"
"Northwestern (#19)","Iowa (#4)","+11.0 (-110) / -11.0 (-110)","+425 / -650"
"Mississippi","Alabama","+2.0 (-115) / -2.0 (-105)","+110 / -130"
